retweetCount,favoriteCount,text,time
7424,53372,It's always a pleasure to meet nice people! God bless you and your family👌👍🙏❤️,2017-04-25T12:14:29.000Z
4289,28356,So excited to finally announce CR7 Denim is almost here and launching on 1st June. Head to http://CR7.com  and follow @CR7limitless,2017-04-21T18:29:00.000Z
11453,59385,👌,2017-04-21T12:12:08.000Z
4178,29073,Big announcement coming @CR7limitless . Any ideas?,2017-04-20T16:23:28.000Z
4717,23332,"From Manchester to Madrid, scoring 💯⚽ #Mercurial available on http://Nike.Com/CR7  @nikefootball",2017-04-19T17:26:51.000Z
26043,80283,👍,2017-04-19T13:23:56.000Z
34412,79668,Another night to remember. Amazing win!! Great team work! 👍🏼💪🏼🔝,2017-04-18T23:32:12.000Z
11180,51347,Ganadores 👌,2017-04-16T11:57:59.000Z
14993,53872,"Feliz, por haber logrado el récord con la camiseta de este club. 
Hala Madrid! 💯👍",2017-04-13T19:49:19.000Z
5000,27203,"Train hard to win the toughest battles💪 #Mercurial
My #CR7 Chapter 4 training gear is out on http://Nike.com ",2017-04-13T12:01:13.000Z
37859,73474,"So happy with the victory tonight and to have reached 💯⚽ in European competitions.
A huge thanks to all my team mates and coaches.",2017-04-13T00:25:36.000Z
11261,61788,good morning 👀🕶👌🏼👍🏼,2017-04-11T08:39:37.000Z
4412,24320,"Forged in Manchester 💪🏼#Mercurial
Available tomorrow 👀👉🏼http://Nike.com/CR7 ",2017-04-10T08:04:14.000Z
4886,37776,👀👌🏼,2017-04-07T18:34:52.000Z
4451,20171,"Putting the 7 into CR7. Many happy memories of Manchester 🏆 👌 #Mercurial 
CR7 Chapter 4 - Available April 10  @nikefootball",2017-04-07T07:52:16.000Z
7025,34965,First day with my new boots. 👌,2017-04-06T19:16:59.000Z
9341,35910,"My new #Mercurial – inspired by the 6 years in Manchester that made me CR7 💪 
CR7 Chapter 4 - Coming April 10",2017-04-06T07:01:06.000Z
4734,29812,Soon👀,2017-04-04T08:34:25.000Z
